material,thinkness_mm,num_letters,num_shapes,complexity_score,has_intricate_details,width_mm,height_mm,cutting_type,cutting_time_minutes,quantity,rush_job,price
Acrylic,3,52,8,3,1,914.4,914.4,laser cutting,30,1,0,10000
Acrylic,3,0,10,1,1,914.4,914.4,laser cutting,20,1,0,7000
Acrylic,3,40,0,2,1,609.6,914.4,laser cutting,30,1,0,8000
Acrylic,3,109,20,4,1,1219.2,914.4,laser cutting,35,1,0,12000
Acrylic,3,30,41,3,1,1219.2,914.4,laser cutting,25,1,0,10000
Acrylic,3,34,17,2,1,1219.2,914.4,laser cutting,25,1,0,8000
Acrylic,3,70,6,3,1,1219.2,914.4,laser cutting,35,1,0,10000
Acrylic,3,35,7,2,1,1219.2,914.4,laser cutting,25,1,0,8000
Acrylic,3,400,26,5,1,1219.2,914.4,laser cutting,40,1,0,20000
Acrylic,3,47,7,2,1,1219.2,914.4,laser cutting,25,1,0,10000
Acrylic,3,26,6,1,1,914.4,914.4,laser cutting,25,1,0,7000
Acrylic,3,119,11,2,1,"1,219.20",609.6,laser cutting,20,1,0,6000
Acrylic,3,64,5,2,1,"1,219.20",609.6,laser cutting,15,1,0,5000
Acrylic,3,30,31,1,1,"1,219.20",609.6,laser cutting,15,1,0,5000
Acrylic,3,0,12,1,1,"1,219.20",609.6,laser cutting,10,1,0,4000
Acrylic,3,0,4,1,1,"1,219.20",609.6,laser cutting,10,1,0,4000
Acrylic,3,300,8,3,1,"1,219.20",609.6,laser cutting,40,1,0,15000
Acrylic,3,400,30,3,1,"1,219.20",609.6,laser cutting,40,1,0,17000
Acrylic,3,40,3,2,1,"1,219.20",609.6,laser cutting,30,1,0,7000
ACP,4,0,2,1,1,"1,219.20","2,438.40",routing cutting,10,1,0,8000
ACP,4,0,8,1,1,"1,219.20","2,438.40",routing cutting,15,1,0,10000
ACP,4,0,4,1,1,"1,219.20","1,219.20",routing cutting,10,1,0,5000
ACP,4,4,10,1,1,"1,219.20","1,219.20",routing cutting,10,1,0,10000
ACP,4,89,0,2,1,"1,219.20","1,219.20",routing cutting,20,1,0,12000
Acrylic,3,26,0,1,1,609.60,304.8,laser cutting,15,1,0,4000
Acrylic,3,140,25,2,1,"1,219.20",609.60,laser cutting,40,1,0,10000
Acrylic,3,11,5,1,1,609.60,609.60,laser cutting,30,2,0,8000
Acrylic,3,43,2,1,1,609.60,609.60,laser cutting,15,1,0,5000
Acrylic,3,21,3,1,1,609.60,304.80,laser cutting,10,1,0,2500
Acrylic,3,20,2,1,1,304.80,64.80,laser cutting,10,1,0,2500
Acrylic,3,15,3,1,1,609.60,609.60,laser cutting,30,2,0,8000
ACP,4,0,16,2,1,1219.2,"2,438.40",routing cutting,30,1,0,10000
ACP,4,10,6,1,1,1219.2,"1,219.20",routing cutting,20,1,0,7000
Acrylic,3,79,7,2,1,1219.2,609.60,laser cutting,25,1,0,7000
Acrylic,3,98,5,2,1,1219.2,914.40,laser cutting,40,1,0,10000
Acrylic,3,30,2,1,1,914.4,609.6,laser cutting,25,1,0,5000
Acrylic,3,15,10,1,1,914.4,609.6,laser cutting,25,1,0,5000
Acrylic,3,15,1,1,1,609.6,304.8,laser cutting,15,1,0,3000
Acrylic,3,111,16,2,1,1219.2,914.4,laser cutting,45,1,0,13000
Acrylic,3,42,24,2,1,1219.2,914.4,laser cutting,35,1,0,10000
Acrylic,3,0,14,1,1,914.4,304.8,laser cutting,15,1,0,5000
Acrylic,3,15,4,1,1,2133.6,609.6,routing cutting,20,1,0,10000
Acrylic,3,28,13,1,1,609.6,609.6,laser cutting,15,1,0,8000
Acrylic,3,3,9,1,1,609.6,609.6,laser cutting,15,1,0,8000
Acrylic,3,8,3,1,1,609.6,609.6,laser cutting,30,2,0,8000
Acrylic,3,11,2,1,1,609.6,609.6,laser cutting,30,2,0,8000
Acrylic,3,25,3,1,1,609.6,609.6,laser cutting,30,2,0,8000
Acrylic,3,7,5,1,1,609.6,609.6,laser cutting,30,2,0,8000
Acrylic,3,8,3,1,1,1219.2,914.4,laser cutting,20,1,0,10000
Acrylic,3,14,4,1,1,609.6,609.6,laser cutting,30,1,0,8000
